id,name,album,artists,url
742,KAMEHAMEHADES,KAMEHAMEHADES,Hades,https://i.scdn.co/image/ab67616d00001e022c29d98a26db39b21337ea68
743,Citizen Arrest - Dutch Hour Remix,Citizen Arrest (Dutch Hour Remix),NeuroBeatz,https://i.scdn.co/image/ab67616d00001e02620b1fe7b9fe8002b95b8a35
744,Breathe In,Breathe In,Kevin D'Angello,https://i.scdn.co/image/ab67616d00001e02b121c886b50500a605104a30
745,SOS,Petite fille,Doria,https://i.scdn.co/image/ab67616d00001e026d68d0c4e64c731794608cb8
746,Fall back,Etheria,Furlax,https://i.scdn.co/image/ab67616d00001e029249e7645ae1182c484d7f16
747,Sun Is Dark,Sun Is Dark,WILL K,https://i.scdn.co/image/ab67616d00001e02e25d7d25cbf7a09c76764f03
749,Oseille Des Francs-Maçons,Oseille Des Francs-Maçons,Obia le Chef,https://i.scdn.co/image/ab67616d00001e025b9c37dab91c92cbab2a5f68
750,J'ai jamais vidé un BIC,360,Sadandsolo,https://i.scdn.co/image/ab67616d00001e0265af92eb0697658e94c36d18
751,MEGADOSE,Mieux vaut guérir,Eline,https://i.scdn.co/image/ab67616d00001e02e022612615c6efa753f8375a
761,Braque World,Braque World,Moyà,https://i.scdn.co/image/ab67616d00001e02ed32cb593574cb598eadb9f6
763,Hell (Prelude),My Bloody America,City Morgue,https://i.scdn.co/image/ab67616d00001e02f1e5a9b21eddb3c7ce8b4319
779,Genesis,.ZIP,BONES,https://i.scdn.co/image/ab67616d00001e024a8c8bbf1977122e0b0da2e5
792,2017,Light Headed,Cold Hart,https://i.scdn.co/image/ab67616d00001e02aa9a2afb66b328d4916cb42a
794,IVE OFFICIALLY LOST ViSiON!!!!,Let’s Start Here.,Lil Yachty,https://i.scdn.co/image/ab67616d00001e026f578b21bce56056473da7e6
795,Another Victim 2 the Wolves,War on Error,Wavy Jone$,https://i.scdn.co/image/ab67616d00001e023b61e1c96836ee06051a0399
796,PRÉCIEUX,95°,Malo,https://i.scdn.co/image/ab67616d00001e023d8b60da071667a0dd083475
808,Kiss or slap (feat. Baby Neelou),HÉRITAGE,75ERA,https://i.scdn.co/image/ab67616d00001e024304de98e5fe9921ea72309e
809,FREE STEKI (Interlude),RESCAPÉ DES RUES (RR 700FS),Zequin,https://i.scdn.co/image/ab67616d00001e02737b175e8315b64f7c79fbac
810,BIENVENUE À LYON,BIENVENUE À LYON,Gemen,https://i.scdn.co/image/ab67616d00001e0208b997fd9f427bebcd6655cb
811,IAGO ASPAS,Prométhée,ACHIM,https://i.scdn.co/image/ab67616d00001e0227f9846b818eb43cab0371d4
818,GLACÉ,GLACÉ,AnNie .Adaa,https://i.scdn.co/image/ab67616d00001e023158e5460488065144e389ac
819,BEZOS-PINAULT-BOLLORE,NOSTALGIA+,Green Montana,https://i.scdn.co/image/ab67616d00001e027e9db700d98fd2d9a487df67
820,Condor,Old School Infection,Pitch Mad Attak,https://i.scdn.co/image/ab67616d00001e022e29da08b8e4d47e20cce40a
821,Clark Kent,6KLOP EP,Slimka,https://i.scdn.co/image/ab67616d00001e025c372b34dedf9aaa6a792108
822,SPIJKERBOM,SPIJKERBOM,Vieze Asbak,https://i.scdn.co/image/ab67616d00001e02623ac0c4ed853e080f6c636a
823,Sudno (Hctm Techno Edit) - Remix,Sudno (HCTM Techno Edit) [Remix],HCTM,https://i.scdn.co/image/ab67616d00001e02a2fec491271736c0f206f0f1
824,Torn Apart,Burn The Boats,NeuroBeatz,https://i.scdn.co/image/ab67616d00001e025ad18ef7bba87d0b5af556d8
825,Carcan de cuir - Live,Muse (Live),Dalí,https://i.scdn.co/image/ab67616d00001e0273b876d24534ca662d92524c
